profile_id,age_group,income,income_bracket,education,job_sector,risk_tolerance,investment_goal,investment_horizon,liquidity_needs
333,66+,21524,0-25000,Associate,Education,0.41,Wealth Building,14,0.61
334,26-35,44205,25001-50000,High School,Retail,0.71,Wealth Building,27,0.61
335,36-45,539940,250001-1000000,PhD,Healthcare,0.34,Home Purchase,7,0.25
336,56-65,33445,25001-50000,Master,Manufacturing,0.42,Wealth Building,12,0.9
337,26-35,226346,100001-250000,Associate,Finance,0.41,Income Generation,26,0.38
338,18-25,9413,0-25000,Associate,Entertainment,0.5,Wealth Building,18,0.18
339,46-55,449406,250001-1000000,Bachelor,Finance,0.56,Retirement,19,0.13
340,56-65,2571,0-25000,Associate,Retail,0.46,Retirement,10,0.56
341,46-55,4762290,1000001-5000000,Bachelor,Technology,0.59,Education,7,0.24
342,56-65,37902,25001-50000,Bachelor,Education,0.13,Education,5,0.52
343,56-65,11848,0-25000,High School,Retail,0.17,Home Purchase,5,0.5
344,36-45,74400,50001-100000,Bachelor,Education,0.71,Wealth Building,17,0.5
345,18-25,24200,0-25000,Bachelor,Education,0.5,Wealth Building,26,0.51
346,46-55,33224,25001-50000,Bachelor,Finance,0.44,Wealth Building,25,0.54
347,56-65,43268,25001-50000,Associate,Technology,0.38,Retirement,10,0.36
348,56-65,217161,100001-250000,Bachelor,Technology,0.41,Retirement,11,0.43
349,26-35,118703,100001-250000,Bachelor,Healthcare,0.66,Home Purchase,7,0.36
350,18-25,756,0-25000,High School,Manufacturing,0.75,Retirement,36,0.49
351,56-65,237359,100001-250000,Associate,Technology,0.1,Wealth Building,9,0.1
352,26-35,29143,25001-50000,Master,Technology,0.8,Education,12,0.34
353,46-55,981511,250001-1000000,Master,Healthcare,0.4,Home Purchase,10,0.35
354,36-45,36986,25001-50000,Associate,Technology,0.45,Retirement,22,0.48
355,36-45,49756,25001-50000,High School,Education,0.35,Retirement,18,0.4
356,46-55,30351,25001-50000,Bachelor,Government,0.31,Home Purchase,7,0.23
357,36-45,208241,100001-250000,Associate,Technology,0.28,Home Purchase,10,0.1
358,26-35,3351,0-25000,High School,Retail,0.35,Home Purchase,10,0.55
359,66+,24594,0-25000,High School,Government,0.1,Retirement,9,0.6
360,46-55,165264,100001-250000,PhD,Technology,0.51,Wealth Building,16,0.33
361,26-35,35587,25001-50000,Bachelor,Retail,0.5,Home Purchase,6,0.41
362,26-35,57401,50001-100000,Bachelor,Technology,0.69,Education,5,0.56
363,18-25,2932,0-25000,High School,Retail,0.57,Education,16,0.51
364,66+,35379,25001-50000,Bachelor,Government,0.43,Retirement,8,0.53
365,36-45,23154,0-25000,High School,Retail,0.3,Education,9,0.74
366,26-35,142034,100001-250000,Bachelor,Technology,0.42,Retirement,33,0.31
367,66+,11930,0-25000,High School,Government,0.34,Education,15,0.5
368,36-45,71142,50001-100000,Associate,Technology,0.49,Income Generation,15,0.52
369,18-25,28236,25001-50000,Bachelor,Finance,0.53,Home Purchase,8,0.2
370,56-65,6839,0-25000,Bachelor,Entertainment,0.3,Education,18,0.38
371,46-55,169682,100001-250000,Master,Manufacturing,0.29,Home Purchase,6,0.36
372,46-55,33152,25001-50000,Master,Manufacturing,0.46,Wealth Building,28,0.38
373,26-35,56823,50001-100000,Associate,Education,0.44,Income Generation,24,0.55
374,36-45,97571,50001-100000,Associate,Education,0.37,Wealth Building,21,0.62
375,18-25,48800,25001-50000,Associate,Technology,0.42,Wealth Building,18,0.67
376,26-35,87462,50001-100000,High School,Finance,0.34,Home Purchase,7,0.49
377,46-55,32125,25001-50000,Bachelor,Government,0.5,Income Generation,29,0.49
378,26-35,200021,100001-250000,Associate,Education,0.3,Education,18,0.63
379,46-55,102998,100001-250000,Master,Technology,0.44,Home Purchase,6,0.1
380,56-65,2869050,1000001-5000000,Master,Technology,0.33,Retirement,6,0.23
381,18-25,33604,25001-50000,Bachelor,Government,0.43,Home Purchase,9,0.5
382,36-45,98213,50001-100000,Associate,Healthcare,0.39,Home Purchase,9,0.37
383,46-55,44461,25001-50000,Bachelor,Healthcare,0.17,Wealth Building,29,0.55
384,46-55,49830,25001-50000,High School,Retail,0.19,Retirement,10,0.24
385,18-25,40440,25001-50000,Associate,Education,0.37,Retirement,44,0.52
386,36-45,51206,50001-100000,Master,Education,0.4,Retirement,19,0.19
387,26-35,21630,0-25000,High School,Manufacturing,0.61,Income Generation,26,0.14
388,26-35,31109,25001-50000,PhD,Manufacturing,0.56,Income Generation,19,0.38
389,56-65,11363,0-25000,High School,Manufacturing,0.24,Retirement,5,0.39
390,18-25,29498,25001-50000,Associate,Agriculture,0.6,Retirement,44,0.61
391,46-55,31776,25001-50000,Bachelor,Retail,0.3,Wealth Building,26,0.63
392,56-65,402204,250001-1000000,Master,Technology,0.16,Wealth Building,7,0.1
393,56-65,70886,50001-100000,Bachelor,Education,0.13,Wealth Building,9,0.29
394,66+,858,0-25000,Associate,Manufacturing,0.28,Retirement,3,0.38
395,56-65,41461,25001-50000,Bachelor,Manufacturing,0.2,Home Purchase,6,0.33
396,66+,532968,250001-1000000,Bachelor,Finance,0.24,Retirement,10,0.66
397,46-55,212082,100001-250000,High School,Finance,0.36,Home Purchase,3,0.36
398,56-65,111120,100001-250000,Bachelor,Finance,0.25,Income Generation,8,0.26
399,36-45,34369,25001-50000,Bachelor,Manufacturing,0.2,Retirement,22,0.24
400,66+,19183,0-25000,Associate,Healthcare,0.22,Retirement,6,0.37
401,46-55,60748,50001-100000,High School,Technology,0.36,Home Purchase,5,0.35
402,46-55,187869,100001-250000,Master,Technology,0.55,Wealth Building,23,0.17
403,46-55,552809,250001-1000000,Associate,Technology,0.22,Retirement,17,0.5
404,18-25,16169,0-25000,Associate,Retail,0.48,Home Purchase,7,0.57
405,36-45,112824,100001-250000,Associate,Healthcare,0.51,Education,5,0.23
406,46-55,95866,50001-100000,Bachelor,Healthcare,0.38,Income Generation,12,0.5
407,56-65,117739,100001-250000,Master,Technology,0.37,Wealth Building,10,0.36
408,18-25,90112,50001-100000,Bachelor,Agriculture,0.56,Wealth Building,29,0.26
409,46-55,42217,25001-50000,Bachelor,Construction,0.45,Wealth Building,25,0.45
410,26-35,96438,50001-100000,Associate,Technology,0.45,Wealth Building,16,0.37
411,26-35,91780,50001-100000,Bachelor,Retail,0.44,Education,10,0.48
412,46-55,37978,25001-50000,Bachelor,Technology,0.26,Education,12,0.67
413,36-45,45553,25001-50000,Master,Entertainment,0.39,Income Generation,11,0.57
414,46-55,70677,50001-100000,High School,Manufacturing,0.32,Home Purchase,9,0.31
415,56-65,180815,100001-250000,Bachelor,Technology,0.33,Retirement,9,0.25
416,66+,1225,0-25000,Bachelor,Retail,0.1,Home Purchase,8,0.53
417,66+,3219,0-25000,Bachelor,Retail,0.23,Home Purchase,7,0.53
418,26-35,26512,25001-50000,Bachelor,Retail,0.53,Retirement,29,0.49
419,26-35,67869,50001-100000,Associate,Technology,0.56,Retirement,33,0.35
420,46-55,68565,50001-100000,Associate,Finance,0.61,Retirement,17,0.37
421,46-55,48091,25001-50000,Bachelor,Government,0.52,Education,16,0.8
422,66+,24764,0-25000,Associate,Healthcare,0.52,Retirement,10,0.36
423,26-35,20215,0-25000,High School,Education,0.61,Wealth Building,20,0.49
424,36-45,36517,25001-50000,Master,Healthcare,0.36,Home Purchase,4,0.32
425,46-55,239657,100001-250000,Master,Technology,0.35,Home Purchase,8,0.1
426,46-55,39266,25001-50000,Associate,Retail,0.12,Wealth Building,28,0.55
427,46-55,71324,50001-100000,Master,Healthcare,0.53,Home Purchase,4,0.32
428,46-55,99479,50001-100000,High School,Technology,0.19,Education,12,0.15
429,46-55,43687,25001-50000,Bachelor,Construction,0.44,Home Purchase,7,0.31
430,56-65,14146,0-25000,High School,Manufacturing,0.25,Home Purchase,5,0.49
431,56-65,36806,25001-50000,Associate,Agriculture,0.38,Retirement,7,0.56
432,18-25,29450,25001-50000,Bachelor,Education,0.48,Home Purchase,5,0.43
433,46-55,200851,100001-250000,Bachelor,Finance,0.55,Retirement,14,0.3
434,46-55,26241,25001-50000,Bachelor,Technology,0.37,Retirement,14,0.44
435,36-45,123186,100001-250000,Master,Finance,0.62,Home Purchase,7,0.65
436,36-45,25354,25001-50000,Bachelor,Education,0.54,Income Generation,19,0.39
437,56-65,568842,250001-1000000,Master,Technology,0.39,Retirement,14,0.1
438,66+,2518,0-25000,High School,Healthcare,0.1,Retirement,5,0.56
439,18-25,22962,0-25000,High School,Retail,0.61,Education,16,0.54
440,18-25,72615,50001-100000,Associate,Government,0.33,Home Purchase,6,0.29
441,36-45,29757,25001-50000,Bachelor,Healthcare,0.56,Education,15,0.46
442,36-45,171458,100001-250000,Bachelor,Technology,0.54,Wealth Building,17,0.5
443,56-65,11056,0-25000,PhD,Manufacturing,0.15,Home Purchase,10,0.36
444,18-25,1115,0-25000,High School,Construction,0.74,Income Generation,30,0.23
445,46-55,46231,25001-50000,PhD,Entertainment,0.47,Home Purchase,10,0.6
446,46-55,46876,25001-50000,Associate,Healthcare,0.33,Retirement,12,0.42
447,46-55,889948,250001-1000000,Master,Technology,0.47,Home Purchase,10,0.36
448,56-65,18721,0-25000,Associate,Technology,0.31,Retirement,15,0.47
449,46-55,37824,25001-50000,Bachelor,Construction,0.38,Wealth Building,12,0.46
450,26-35,755484,250001-1000000,Master,Agriculture,0.49,Retirement,26,0.1
451,46-55,40062,25001-50000,Associate,Healthcare,0.81,Wealth Building,19,0.5
452,36-45,20735,0-25000,High School,Technology,0.29,Wealth Building,30,0.39
453,66+,217784,100001-250000,High School,Healthcare,0.15,Education,17,0.43
454,26-35,812626,250001-1000000,Master,Entertainment,0.62,Income Generation,11,0.11
455,18-25,20731,0-25000,High School,Government,0.49,Home Purchase,4,0.5
456,36-45,6640,0-25000,Bachelor,Agriculture,0.49,Income Generation,28,0.52
457,56-65,473590,250001-1000000,Master,Healthcare,0.28,Education,13,0.19
458,18-25,58741,50001-100000,Master,Manufacturing,0.56,Retirement,45,0.43
459,46-55,81196,50001-100000,Associate,Manufacturing,0.4,Income Generation,29,0.52
460,66+,90112,50001-100000,Bachelor,Government,0.23,Home Purchase,8,0.4
461,26-35,63639,50001-100000,Associate,Government,0.49,Wealth Building,11,0.22
462,26-35,8237,0-25000,Bachelor,Government,0.61,Retirement,32,0.54
463,66+,22179,0-25000,High School,Healthcare,0.16,Education,11,0.52
464,56-65,32084,25001-50000,Bachelor,Finance,0.1,Home Purchase,6,0.41
465,26-35,68390,50001-100000,Master,Education,0.38,Wealth Building,29,0.44
466,66+,13490,0-25000,High School,Agriculture,0.39,Retirement,6,0.39
467,66+,19391,0-25000,Bachelor,Construction,0.25,Income Generation,13,0.24
468,56-65,47828,25001-50000,Bachelor,Healthcare,0.35,Wealth Building,8,0.32
469,18-25,55947,50001-100000,Bachelor,Healthcare,0.53,Home Purchase,10,0.28
470,46-55,40215,25001-50000,High School,Manufacturing,0.27,Home Purchase,9,0.67
471,46-55,87699,50001-100000,Bachelor,Technology,0.8,Retirement,17,0.45
472,56-65,18310,0-25000,Associate,Government,0.17,Home Purchase,10,0.75
473,56-65,154997,100001-250000,Master,Healthcare,0.59,Education,6,0.29
474,36-45,29021,25001-50000,Bachelor,Government,0.62,Education,8,0.64
475,26-35,5859,0-25000,Master,Healthcare,0.29,Home Purchase,3,0.51
476,46-55,39545,25001-50000,High School,Healthcare,0.55,Education,10,0.64
477,46-55,46819,25001-50000,Master,Education,0.34,Wealth Building,15,0.55
478,46-55,34442,25001-50000,High School,Finance,0.35,Income Generation,27,0.73
479,26-35,60059,50001-100000,High School,Agriculture,0.52,Education,13,0.56
480,46-55,1620524,1000001-5000000,Master,Technology,0.41,Retirement,15,0.27
481,36-45,69370,50001-100000,Associate,Construction,0.23,Income Generation,24,0.35
482,26-35,26314,25001-50000,Bachelor,Finance,0.33,Education,10,0.48
483,36-45,541428,250001-1000000,Associate,Manufacturing,0.68,Home Purchase,3,0.46
484,26-35,14012,0-25000,High School,Manufacturing,0.56,Income Generation,24,0.22
485,56-65,2777682,1000001-5000000,Bachelor,Manufacturing,0.43,Education,10,0.32
486,36-45,33957,25001-50000,Bachelor,Retail,0.51,Retirement,19,0.46
487,46-55,179670,100001-250000,Master,Technology,0.52,Education,18,0.39
488,36-45,68854,50001-100000,Bachelor,Retail,0.38,Retirement,24,0.55
489,46-55,66903,50001-100000,Bachelor,Retail,0.2,Home Purchase,5,0.42
490,26-35,47718,25001-50000,Associate,Healthcare,0.24,Education,9,0.57
491,26-35,45580,25001-50000,High School,Government,0.55,Wealth Building,19,0.26
492,46-55,42512,25001-50000,Master,Technology,0.4,Home Purchase,5,0.33
493,66+,6174,0-25000,Associate,Retail,0.44,Wealth Building,11,0.49
494,46-55,104556,100001-250000,Bachelor,Healthcare,0.53,Education,5,0.42
495,18-25,22748,0-25000,High School,Healthcare,0.73,Retirement,41,0.66
496,66+,3896,0-25000,High School,Manufacturing,0.1,Home Purchase,5,0.55
497,66+,24451,0-25000,Bachelor,Manufacturing,0.1,Wealth Building,8,0.5
498,46-55,103666,100001-250000,Master,Entertainment,0.1,Retirement,13,0.33
499,66+,22070,0-25000,High School,Manufacturing,0.21,Retirement,8,0.62
500,36-45,10751,0-25000,High School,Retail,0.59,Wealth Building,17,0.52
501,56-65,149489,100001-250000,PhD,Manufacturing,0.57,Retirement,12,0.42
502,18-25,47169,25001-50000,High School,Education,0.54,Income Generation,15,0.35
503,36-45,1514902,1000001-5000000,Bachelor,Healthcare,0.79,Home Purchase,9,0.14
504,46-55,758070,250001-1000000,Associate,Healthcare,0.24,Retirement,10,0.5
505,36-45,60010,50001-100000,Bachelor,Government,0.54,Home Purchase,6,0.29
506,36-45,42775,25001-50000,Master,Education,0.24,Education,18,0.39
507,56-65,18240,0-25000,Associate,Construction,0.16,Education,12,0.66
508,46-55,43147,25001-50000,Bachelor,Education,0.57,Education,14,0.4
509,26-35,12006,0-25000,Associate,Technology,0.61,Retirement,30,0.48
510,56-65,7688,0-25000,Associate,Construction,0.15,Education,13,0.42
511,46-55,248911,100001-250000,Bachelor,Technology,0.41,Education,11,0.3
512,46-55,47639,25001-50000,Associate,Education,0.48,Home Purchase,9,0.24
513,56-65,1315920,1000001-5000000,Master,Technology,0.38,Wealth Building,6,0.38
514,18-25,67916,50001-100000,Master,Education,0.2,Wealth Building,19,0.4
515,26-35,70536,50001-100000,Bachelor,Manufacturing,0.45,Retirement,35,0.78
516,46-55,63957,50001-100000,Master,Construction,0.25,Wealth Building,23,0.26
517,26-35,32877,25001-50000,Bachelor,Finance,0.46,Wealth Building,12,0.67
518,56-65,9405,0-25000,High School,Retail,0.27,Retirement,9,0.48
519,56-65,46199,25001-50000,Associate,Healthcare,0.2,Home Purchase,10,0.6
520,66+,2083,0-25000,High School,Manufacturing,0.29,Income Generation,7,0.34
521,36-45,28954,25001-50000,Master,Construction,0.6,Wealth Building,17,0.56
522,46-55,44148,25001-50000,Master,Retail,0.54,Retirement,14,0.43
523,36-45,82137,50001-100000,Bachelor,Technology,0.48,Retirement,17,0.28
524,46-55,105525,100001-250000,PhD,Technology,0.75,Retirement,14,0.37
525,66+,630482,250001-1000000,Master,Finance,0.23,Retirement,7,0.39
526,66+,142003,100001-250000,Master,Government,0.45,Retirement,10,0.34
527,56-65,210721,100001-250000,Master,Manufacturing,0.48,Education,16,0.66
528,46-55,25897,25001-50000,Bachelor,Healthcare,0.35,Retirement,20,0.33
529,46-55,8179,0-25000,Master,Entertainment,0.61,Education,18,0.58
530,46-55,71469,50001-100000,Associate,Education,0.74,Income Generation,16,0.1
531,36-45,20250,0-25000,High School,Healthcare,0.19,Home Purchase,4,0.41
532,36-45,529134,250001-1000000,Master,Technology,0.73,Income Generation,19,0.37
533,18-25,4782,0-25000,Master,Education,0.51,Home Purchase,10,0.3
534,56-65,204217,100001-250000,Master,Finance,0.46,Retirement,5,0.29
535,66+,885830,250001-1000000,PhD,Finance,0.19,Education,15,0.34
536,36-45,16506,0-25000,High School,Retail,0.38,Education,12,0.62
537,36-45,10256,0-25000,High School,Government,0.36,Home Purchase,10,0.29
538,18-25,41218,25001-50000,Associate,Retail,0.52,Wealth Building,14,0.57
539,66+,16670,0-25000,Associate,Retail,0.13,Retirement,3,0.34
540,56-65,361223,250001-1000000,Bachelor,Technology,0.64,Home Purchase,3,0.25
541,36-45,79695,50001-100000,Bachelor,Retail,0.73,Retirement,25,0.12
542,66+,85859,50001-100000,Associate,Finance,0.4,Wealth Building,9,0.27
543,66+,181292,100001-250000,Master,Healthcare,0.17,Retirement,9,0.34
544,36-45,49789,25001-50000,Associate,Healthcare,0.46,Home Purchase,6,0.58
545,46-55,802892,250001-1000000,Master,Technology,0.27,Home Purchase,5,0.37
546,26-35,14015,0-25000,High School,Healthcare,0.43,Wealth Building,28,0.62
547,18-25,82994,50001-100000,Bachelor,Education,0.35,Wealth Building,20,0.44
548,56-65,90883,50001-100000,Associate,Construction,0.44,Retirement,9,0.41
549,56-65,5627,0-25000,High School,Retail,0.46,Wealth Building,9,0.39
550,56-65,75887,50001-100000,High School,Technology,0.4,Retirement,15,0.28
551,36-45,241187,100001-250000,Bachelor,Healthcare,0.46,Retirement,22,0.58
552,36-45,163604,100001-250000,Master,Manufacturing,0.6,Income Generation,25,0.5
553,18-25,69057,50001-100000,Associate,Education,0.47,Retirement,40,0.42
554,26-35,81021,50001-100000,Bachelor,Manufacturing,0.48,Retirement,32,0.35
555,26-35,22445,0-25000,Associate,Entertainment,0.51,Retirement,31,0.76
556,46-55,80955,50001-100000,Master,Manufacturing,0.19,Wealth Building,14,0.3
557,56-65,38631,25001-50000,Bachelor,Healthcare,0.29,Wealth Building,7,0.4
558,36-45,7343,0-25000,PhD,Government,0.74,Home Purchase,4,0.47
559,66+,129080,100001-250000,Master,Finance,0.36,Retirement,6,0.25
560,56-65,49005,25001-50000,Associate,Finance,0.42,Retirement,5,0.11
561,26-35,41549,25001-50000,Associate,Retail,0.42,Retirement,31,0.54
562,56-65,38413,25001-50000,PhD,Education,0.29,Wealth Building,13,0.65
563,18-25,87655,50001-100000,Bachelor,Retail,0.64,Retirement,45,0.81
564,56-65,70559,50001-100000,High School,Healthcare,0.42,Wealth Building,12,0.73
565,46-55,90514,50001-100000,Bachelor,Entertainment,0.53,Retirement,11,0.22
566,56-65,98501,50001-100000,Bachelor,Education,0.2,Education,17,0.44
567,46-55,241541,100001-250000,Bachelor,Education,0.33,Education,17,0.39
568,18-25,24145,0-25000,High School,Education,0.65,Wealth Building,30,0.77
569,26-35,9804,0-25000,Associate,Government,0.62,Home Purchase,4,0.39
570,46-55,194705,100001-250000,Associate,Healthcare,0.39,Education,12,0.27
571,46-55,76395,50001-100000,Bachelor,Finance,0.28,Education,16,0.62
572,36-45,4455318,1000001-5000000,Master,Healthcare,0.17,Home Purchase,4,0.34
573,66+,5139,0-25000,High School,Agriculture,0.29,Retirement,7,0.4
574,56-65,137262,100001-250000,Bachelor,Entertainment,0.3,Retirement,5,0.2
575,46-55,209465,100001-250000,Bachelor,Healthcare,0.35,Wealth Building,29,0.24
576,36-45,99918,50001-100000,Bachelor,Entertainment,0.23,Wealth Building,23,0.11
577,66+,26502,25001-50000,Master,Retail,0.58,Wealth Building,14,0.6
578,26-35,46141,25001-50000,Bachelor,Healthcare,0.56,Retirement,33,0.3
579,56-65,131532,100001-250000,Master,Entertainment,0.31,Wealth Building,14,0.28
580,46-55,76333,50001-100000,Bachelor,Construction,0.35,Retirement,15,0.37
581,36-45,3272387,1000001-5000000,Associate,Technology,0.34,Education,5,0.29
582,26-35,1916,0-25000,High School,Healthcare,0.59,Income Generation,13,0.35
583,36-45,65499,50001-100000,Bachelor,Finance,0.44,Home Purchase,6,0.43
584,56-65,18176,0-25000,High School,Retail,0.21,Home Purchase,8,0.51
585,66+,13885,0-25000,Associate,Technology,0.35,Retirement,10,0.42
586,56-65,73031,50001-100000,Associate,Government,0.28,Home Purchase,7,0.71
587,46-55,4683771,1000001-5000000,Master,Entertainment,0.32,Education,17,0.32
588,36-45,71079,50001-100000,Bachelor,Manufacturing,0.39,Wealth Building,23,0.45
589,36-45,37871,25001-50000,Bachelor,Manufacturing,0.7,Wealth Building,21,0.64
590,26-35,75347,50001-100000,Bachelor,Retail,0.27,Income Generation,24,0.61
591,18-25,62551,50001-100000,Bachelor,Finance,0.63,Home Purchase,3,0.47
592,26-35,20920,0-25000,Bachelor,Retail,0.47,Wealth Building,28,0.61
593,18-25,19272,0-25000,High School,Manufacturing,0.52,Home Purchase,6,0.59
594,66+,100513,100001-250000,Master,Entertainment,0.15,Home Purchase,3,0.48
595,46-55,13764,0-25000,High School,Manufacturing,0.1,Wealth Building,17,0.71
596,18-25,8191,0-25000,High School,Healthcare,0.53,Education,14,0.62
597,56-65,36168,25001-50000,Master,Education,0.27,Home Purchase,4,0.53
598,66+,1988,0-25000,High School,Construction,0.48,Retirement,3,0.36
599,18-25,22202,0-25000,High School,Entertainment,0.43,Education,17,0.35
600,36-45,126550,100001-250000,PhD,Education,0.47,Retirement,15,0.38
601,66+,150755,100001-250000,Associate,Finance,0.24,Home Purchase,6,0.12
602,46-55,46356,25001-50000,Associate,Entertainment,0.46,Education,9,0.52
603,66+,16616,0-25000,Associate,Healthcare,0.31,Retirement,10,0.54
604,46-55,71998,50001-100000,Bachelor,Healthcare,0.35,Retirement,10,0.52
605,26-35,31985,25001-50000,Bachelor,Agriculture,0.32,Retirement,25,0.41
606,18-25,3774,0-25000,High School,Retail,0.67,Income Generation,16,0.41
607,36-45,145688,100001-250000,Master,Technology,0.55,Wealth Building,13,0.3
608,56-65,37113,25001-50000,Bachelor,Construction,0.21,Education,11,0.28
609,36-45,185900,100001-250000,Master,Technology,0.28,Home Purchase,6,0.62
610,36-45,117007,100001-250000,Bachelor,Government,0.57,Home Purchase,8,0.47
611,36-45,41214,25001-50000,Bachelor,Manufacturing,0.65,Retirement,22,0.6
612,46-55,37357,25001-50000,Master,Finance,0.41,Retirement,18,0.36
613,36-45,45354,25001-50000,Bachelor,Education,0.37,Retirement,17,0.43
614,26-35,2700,0-25000,Associate,Retail,0.31,Retirement,26,0.42
615,36-45,47122,25001-50000,Associate,Government,0.49,Wealth Building,14,0.41
616,18-25,92947,50001-100000,Bachelor,Agriculture,0.3,Retirement,43,0.45
617,36-45,40120,25001-50000,High School,Government,0.1,Education,12,0.26
618,56-65,46590,25001-50000,Associate,Education,0.41,Wealth Building,13,0.33
619,56-65,52111,50001-100000,Associate,Agriculture,0.23,Home Purchase,9,0.34
620,26-35,3559,0-25000,Master,Retail,0.42,Wealth Building,15,0.5
621,26-35,12644,0-25000,High School,Retail,0.46,Wealth Building,23,0.34
622,66+,75494,50001-100000,Master,Technology,0.18,Wealth Building,12,0.19
623,36-45,31652,25001-50000,Bachelor,Healthcare,0.25,Wealth Building,26,0.35
624,46-55,40162,25001-50000,Bachelor,Healthcare,0.57,Wealth Building,19,0.29
625,36-45,208804,100001-250000,PhD,Finance,0.37,Retirement,16,0.1
626,26-35,5175,0-25000,Associate,Manufacturing,0.53,Home Purchase,4,0.42
627,18-25,16582,0-25000,High School,Retail,0.58,Education,18,0.28
628,56-65,21964,0-25000,High School,Healthcare,0.32,Income Generation,7,0.49
629,56-65,591,0-25000,High School,Healthcare,0.37,Wealth Building,5,0.55
630,46-55,32100,25001-50000,Master,Education,0.38,Home Purchase,4,0.41
631,18-25,152,0-25000,High School,Education,0.76,Retirement,45,0.4
632,56-65,28529,25001-50000,Associate,Manufacturing,0.82,Education,6,0.37
633,36-45,25492,25001-50000,Associate,Finance,0.42,Wealth Building,30,0.48
634,36-45,207767,100001-250000,Master,Construction,0.26,Income Generation,28,0.51
635,26-35,3909676,1000001-5000000,Bachelor,Education,0.6,Retirement,32,0.17
636,56-65,19250,0-25000,High School,Technology,0.38,Retirement,8,0.53
637,26-35,34720,25001-50000,Associate,Manufacturing,0.23,Income Generation,24,0.54
638,66+,21089,0-25000,High School,Government,0.13,Wealth Building,8,0.63
639,18-25,17672,0-25000,Bachelor,Agriculture,0.78,Retirement,43,0.42
640,18-25,16110,0-25000,High School,Retail,0.38,Retirement,43,0.43
641,26-35,70413,50001-100000,Associate,Education,0.53,Home Purchase,6,0.13
642,26-35,11782,0-25000,High School,Retail,0.46,Wealth Building,25,0.3
643,46-55,178704,100001-250000,Bachelor,Finance,0.3,Home Purchase,10,0.34
644,66+,420,0-25000,Associate,Manufacturing,0.22,Education,11,0.49
645,56-65,76791,50001-100000,PhD,Technology,0.65,Education,15,0.56
646,46-55,77790,50001-100000,Associate,Technology,0.61,Wealth Building,30,0.17
647,36-45,404526,250001-1000000,Master,Entertainment,0.69,Income Generation,22,0.42
648,36-45,47671,25001-50000,PhD,Retail,0.41,Education,6,0.61
649,26-35,29677,25001-50000,Associate,Retail,0.31,Retirement,33,0.42
650,36-45,30781,25001-50000,Bachelor,Healthcare,0.37,Retirement,17,0.55
651,46-55,4655821,1000001-5000000,Master,Finance,0.58,Retirement,11,0.16
652,36-45,81320,50001-100000,Bachelor,Technology,0.66,Retirement,23,0.52
653,26-35,49949,25001-50000,Bachelor,Government,0.53,Wealth Building,20,0.42
654,56-65,35822,25001-50000,High School,Entertainment,0.16,Income Generation,5,0.65
655,66+,22913,0-25000,High School,Retail,0.62,Home Purchase,6,0.67
656,66+,52999,50001-100000,Bachelor,Retail,0.17,Wealth Building,6,0.62
657,56-65,95843,50001-100000,Bachelor,Healthcare,0.26,Home Purchase,3,0.24
658,26-35,40297,25001-50000,Bachelor,Technology,0.54,Retirement,26,0.39
659,66+,10698,0-25000,Associate,Education,0.14,Wealth Building,6,0.57
660,56-65,187242,100001-250000,PhD,Education,0.46,Education,15,0.43
661,36-45,161176,100001-250000,Associate,Technology,0.3,Wealth Building,22,0.11
662,36-45,211071,100001-250000,Bachelor,Finance,0.63,Home Purchase,4,0.29
663,56-65,29742,25001-50000,Associate,Healthcare,0.38,Retirement,5,0.49
664,36-45,1517846,1000001-5000000,Master,Finance,0.56,Retirement,15,0.44
665,56-65,155211,100001-250000,PhD,Technology,0.47,Wealth Building,7,0.22
